file,label,class3,venue,lighting,source,boundary,people_inside,people_total,ball,suspicion,why
1_empty/slot_20260711_1000_camA_t000029.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,3,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000044.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,5,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000059.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,3,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000074.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,3,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000086_m.jpg,1_empty,C1_EMPTY,venue_01,day,motion,True,0,3,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000089.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,4,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000104.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,3,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000119.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,1,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000134.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,2,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000149.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,1,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000164.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,2,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000179.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,2,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000194.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,3,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000209.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,3,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000224.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,2,True,0.0,0 person(s) found in a frame labelled EMPTY
1_empty/slot_20260711_1000_camA_t000254.jpg,1_empty,C1_EMPTY,venue_01,day,regular,True,0,1,True,0.0,0 person(s) found in a frame labelled EMPTY
